"state","bill_id","title","session","lastAction","signed","source","id"
"al","HB 498","Unmanned aircraft systems or drones, use of prohibited under certain conditions, criminal penalties, injunctive relief, use by governmental agencies authorized under certain conditions, rulemaking authority, Unmanned Aircraft Systems Act, Secs. 13A-6-24, 13A-6-90.1, 13A-7-22, 13A-10-2, 13A-10-38, 13A-11-32, 23-1-388 am'd.","2017rs","2017-04-11",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSBillsList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB498|","ALB00012641"
"al","SB 378","Unmanned aircraft systems or drones, use of prohibited under certain conditions, criminal penalties, injuctive relief, use by governmental agencies authorized under certain conditions, Unmanned Aircraft Systems Act","2016rs","2016-04-05",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSBillsList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillResult.aspx?BILL=SB378|","ALB00011155"
"al","HB 471","Unmanned aircraft systems or drones, use of prohibited under certain conditions, criminal penalties, injuctive relief, use by governmental agencies authorized under certain conditions, Unmanned Aircraft Systems Act","2016rs","2016-03-23",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSBillsList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillResult.aspx?BILL=HB471|","ALB00011118"
"al","HJR 166","Auburn University Aviation Center Unmanned Aircraft Flight School, recognized","2015rs","2015-05-07",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSResList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillResult.aspx?BILL=HJR166|","ALB00009198"
"fl","HB 2701","Embry-Riddle Aeronautical University Unmanned Autonomous Systems Facility","2018","2018-03-11",,"http://flsenate.gov/Session/Bill/2018/02701/ByCategory","FLB00016539"
"fl","HB 3163","Palm Beach County Sheriff's Office Expansion of the Unmanned Aircraft System.","2018","2018-03-11",,"http://flsenate.gov/Session/Bill/2018/03163/ByCategory","FLB00016809"
"fl","HB 471","Unmanned Aircraft","2018","2018-03-10",,"http://flsenate.gov/Session/Bill/2018/00471/ByCategory","FLB00015992"
"fl","HB 2933","Palm Beach County Sheriff's Office for Expansion of the Unmanned Aircraft System","2017","2017-05-08",,"http://flsenate.gov/Session/Bill/2017/02933/ByCategory","FLB00014112"
"fl","HB 1027","Unmanned Devices","2017","2017-05-05",,"http://flsenate.gov/Session/Bill/2017/01027/ByCategory","FLB00013506"
"fl","SB 832","Unmanned Devices","2017","2017-05-03",,"http://flsenate.gov/Session/Bill/2017/00832/ByCategory","FLB00012477"
